fold,model,subset_accuracy,number_level_accuracy,avg_hit,precision_at_6,recall_at_6,brier_score
0,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
0,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,
0,random_baseline,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
0,logistic_regression,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,0.3280960895884904
0,soft_voting_ensemble,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.19843451356059355
1,freq_heuristic,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,
1,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
1,random_baseline,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
1,logistic_regression,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,0.3242752760830512
1,soft_voting_ensemble,0.0,0.7733333333333333,0.9,0.15,0.15,0.19192542607233493
2,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
2,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
2,random_baseline,0.0,0.7733333333333333,0.9,0.15,0.15,
2,logistic_regression,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.3424520012172209
2,soft_voting_ensemble,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.19717817170563048
3,freq_heuristic,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
3,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
3,random_baseline,0.0,0.7733333333333333,0.9,0.15,0.15,
3,logistic_regression,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,0.33457997909585474
3,soft_voting_ensemble,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,0.19636502827876395
4,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
4,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
4,random_baseline,0.0,0.7837037037037037,1.1333333333333333,0.18888888888888888,0.18888888888888888,
4,logistic_regression,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.3372263367906499
4,soft_voting_ensemble,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.1987024494635469
5,freq_heuristic,0.0,0.7851851851851852,1.1666666666666667,0.19444444444444445,0.19444444444444445,
5,gap_heuristic,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
5,random_baseline,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
5,logistic_regression,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,0.3820148498758153
5,soft_voting_ensemble,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,0.21257192012410747
6,freq_heuristic,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
6,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
6,random_baseline,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
6,logistic_regression,0.0,0.7733333333333333,0.9,0.15,0.15,0.32733263609880875
6,soft_voting_ensemble,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.20049731662985057
7,freq_heuristic,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,
7,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
7,random_baseline,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,
7,logistic_regression,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,0.2973955400613012
7,soft_voting_ensemble,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.1844425695204141
8,freq_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
8,gap_heuristic,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,
8,random_baseline,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
8,logistic_regression,0.0,0.7733333333333333,0.9,0.15,0.15,0.2937370428615944
8,soft_voting_ensemble,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,0.19247323440037284
9,freq_heuristic,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
9,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
9,random_baseline,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,
9,logistic_regression,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.28199649874490673
9,soft_voting_ensemble,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.19078309038158964
10,freq_heuristic,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,
10,gap_heuristic,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,
10,random_baseline,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
10,logistic_regression,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.29326447095776764
10,soft_voting_ensemble,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,0.192082581152767
11,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
11,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
11,random_baseline,0.0,0.7792592592592592,1.0333333333333334,0.17222222222222225,0.17222222222222225,
11,logistic_regression,0.0,0.7762962962962963,0.9666666666666667,0.16111111111111112,0.16111111111111112,0.30148558211478677
11,soft_voting_ensemble,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.1946318234545557
12,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
12,gap_heuristic,0.0,0.7733333333333333,0.9,0.15,0.15,
12,random_baseline,0.0,0.7733333333333333,0.9,0.15,0.15,
12,logistic_regression,0.0,0.7762962962962963,0.9666666666666667,0.16111111111111112,0.16111111111111112,0.30950919540808564
12,soft_voting_ensemble,0.0,0.7792592592592592,1.0333333333333334,0.17222222222222225,0.17222222222222225,0.19561668517102168
13,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
13,gap_heuristic,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,
13,random_baseline,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,
13,logistic_regression,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.28397513956062426
13,soft_voting_ensemble,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,0.18814394327626832
14,freq_heuristic,0.0,0.7733333333333333,0.9,0.15,0.15,
14,gap_heuristic,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,
14,random_baseline,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,
14,logistic_regression,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,0.2954075006510549
14,soft_voting_ensemble,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,0.19648166902716713
15,freq_heuristic,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,
15,gap_heuristic,0.0,0.76,0.6,0.09999999999999999,0.09999999999999999,
15,random_baseline,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,
15,logistic_regression,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.2776870731175657
15,soft_voting_ensemble,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.18937197067212222
16,freq_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
16,gap_heuristic,0.0,0.7511111111111111,0.4,0.06666666666666667,0.06666666666666667,
16,random_baseline,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
16,logistic_regression,0.0,0.7570370370370371,0.5333333333333333,0.08888888888888889,0.08888888888888889,0.3009689363628776
16,soft_voting_ensemble,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,0.19068796476809366
17,freq_heuristic,0.0,0.7733333333333333,0.9,0.15,0.15,
17,gap_heuristic,0.0,0.7570370370370371,0.5333333333333333,0.08888888888888889,0.08888888888888889,
17,random_baseline,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,
17,logistic_regression,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,0.2791452740337825
17,soft_voting_ensemble,0.0,0.7837037037037037,1.1333333333333333,0.18888888888888888,0.18888888888888888,0.18080738422322176
18,freq_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
18,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,
18,random_baseline,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
18,logistic_regression,0.0,0.7762962962962963,0.9666666666666667,0.16111111111111112,0.16111111111111112,0.28016633728434825
18,soft_voting_ensemble,0.0,0.7792592592592592,1.0333333333333334,0.17222222222222225,0.17222222222222225,0.19485558501021566
19,freq_heuristic,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,
19,gap_heuristic,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
19,random_baseline,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
19,logistic_regression,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.287986866994355
19,soft_voting_ensemble,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,0.19833455215475237
